"tripdate","time","temperature","wind_speed","wind_degree","wind_dir","weather_code","weather_descriptions","precip","humidity","visibility","pressure","cloudcover","heatindex","dewpoint","windchill","windgust","feelslike","uv_index","totalsnow","avgtemp"
"2014-01-01","900","-6","27","77","ENE","338","Heavy snow","0.2","91","2","1026","100","-6","-7","-14","35","-14","1","0.8","-6"
"2014-01-02","900","-7","36","37","NE","230","Blizzard","0.2","86","0","1024","100","-7","-9","-16","46","-16","1","0","-7"
"2014-01-03","900","-13","21","215","SW","113","Sunny","0","66","10","1032","10","-13","-18","-22","27","-22","2","0","-11"
"2014-01-04","900","-4","41","213","SSW","227","Blowing snow","0","85","2","1012","61","-4","-6","-12","57","-12","1","4.2","-2"
"2014-01-05","900","-4","40","11","NNE","230","Blizzard","0.6","93","0","1017","100","-4","-5","-13","53","-13","1","3.8","-6"
"2014-01-06","900","-23","44","282","WNW","329","Patchy moderate snow","0","84","7","1025","3","-23","-25","-39","50","-39","1","0","-22"
"2014-01-07","900","-20","33","249","WSW","116","Partly cloudy","0","86","10","1028","44","-20","-21","-32","38","-32","2","0","-16"
"2014-01-08","900","-13","12","310","NW","116","Partly cloudy","0","89","10","1030","36","-13","-14","-19","16","-19","2","0.1","-12"
"2014-01-09","900","-8","19","150","SSE","119","Cloudy","0","87","10","1032","65","-8","-10","-16","26","-16","1","0.8","-6"
"2014-01-10","900","0","18","166","SSE","119","Cloudy","0","94","10","1018","74","0","-1","-5","28","-5","1","0.3","1"
"2014-01-11","900","1","26","280","W","332","Moderate snow","0","95","5","999","87","1","1","-4","39","-4","1","0.1","1"
"2014-01-12","900","-2","30","190","S","116","Partly cloudy","0","93","10","1012","46","-2","-3","-9","43","-9","2","0.2","0"
"2014-01-13","900","3","21","244","WSW","266","Light drizzle","0.2","98","2","1002","100","3","3","-1","40","-1","1","0","3"
"2014-01-14","900","0","39","180","S","317","Light sleet","0.1","81","9","1004","77","0","-3","-8","58","-8","1","0","-1"
"2014-01-15","900","-8","24","303","WNW","326","Light snow","0","85","10","1020","67","-8","-10","-16","31","-16","1","0.1","-8"
"2014-01-16","900","-3","38","204","SSW","227","Blowing snow","0","86","2","1004","71","-3","-5","-11","51","-11","1","0.5","-1"
