"trial","totalFlow","optimalFlow","maximalPickup","convergence","nfuneval","lagrange"
0,863,"228,414,221",597,0,358,-0.0545105933933376
1,796,"228,414,154",593,0,366,-0.0542738784449782
2,776,"228,398,150",586,0,345,-0.43976160473839
3,847,"228,414,205",596,0,423,-0.05451046924489
4,677,"228,299,150",542,0,359,-0.439804409198103
5,897,"228,414,255",598,0,506,-0.0148040927113462
6,851,"228,414,209",596,0,350,-0.0545103760419458
7,753,"228,375,150",575,0,305,-0.440011022425041
8,680,"228,302,150",543,0,441,-0.436579628055274
9,733,"228,355,150",567,0,372,-0.439762025452997
10,849,"228,414,207",596,0,345,-0.0545016484834063
11,598,"228,220,150",507,0,347,-0.439762050361772
12,820,"228,414,178",594,0,371,-0.0545104018850445
13,635,"228,257,150",524,0,238,-0.4397633801633
14,774,"228,387,159",581,0,583,-0.43976130288927
15,643,"228,265,150",527,0,358,-0.439760775642261
