"trial","totalFlow","optimalFlow","maximalPickup","convergence","nfuneval","lagrange"
0,863,"228,414,221",597,0,290,-0.0545107416922468
1,796,"228,414,154",593,0,358,-0.0545106649682565
2,776,"228,394,154",584,0,443,-0.439760945759052
3,847,"228,414,205",596,0,232,-0.0545105232096327
4,677,"228,279,170",534,0,263,-0.439760842789293
5,897,"228,414,255",598,0,368,-0.0578040454128592
6,851,"228,414,209",596,0,387,-0.0505725792872792
7,753,"228,333,192",559,0,419,-0.439760908486061
8,680,"228,247,205",522,0,180,-0.439761030794535
9,733,"228,300,205",546,0,256,-0.439760782941654
10,849,"228,414,207",596,0,280,-0.0545106360317004
11,598,"228,216,154",506,0,171,-0.439760568889513
12,820,"228,414,178",594,0,371,-0.0545106939797992
13,635,"228,221,186",510,0,195,-0.439760631702144
14,774,"228,349,197",567,0,496,-0.439760993601063
15,643,"228,258,157",524,0,176,-0.439761403302796
