"trial","totalFlow","optimalFlow","maximalPickup","convergence","nfuneval","lagrange"
0,863,"228,414,221",597,0,301,-0.0545106426118332
1,753,"228,375,150",575,0,286,-0.439761116002272
2,774,"228,396,150",585,0,384,-0.439758032184122
3,849,"228,414,207",596,0,403,-0.0545108084013389
4,733,"228,355,150",567,0,319,-0.468123616852531
5,820,"228,414,178",594,0,346,-0.0545106606140647
6,796,"228,414,154",593,0,388,-0.0545106652642358
7,677,"228,299,150",542,0,336,-0.439736010357631
8,598,"228,220,150",507,0,297,-0.439533240759256
9,680,"228,302,150",543,0,360,-0.439659259684769
10,847,"228,414,205",596,0,326,-0.0545104690732291
11,643,"228,265,150",527,0,338,-0.439761148462179
12,897,"228,414,255",598,0,279,-0.0545104960286115
13,635,"228,257,150",524,0,254,-0.439761349633443
14,776,"228,398,150",586,0,360,-0.439761502171375
15,851,"228,414,209",596,0,483,-0.0523667684549162
