"trial","sim","display","feedback","totalFlow","simFlow","simPickup","simProb","predFlow","predPickup","predProb","ds"
0,1,0,0,863,"412,205,246",506,0.586326767091541,"198,375,290",563,0.652375434530707,5.64208936691284
0,1,0,1,863,"415,265,183",529,0.61297798377752,"198,375,290",563,0.652375434530707,6.97427272796631
0,1,1,0,863,"426,252,185",523,0.606025492468134,"198,375,290",563,0.652375434530707,8.86639976501465
0,1,1,1,863,"382,271,210",534,0.618771726535342,"198,375,290",563,0.652375434530707,1.79496884346008
1,1,0,0,796,"407,205,184",503,0.631909547738693,"200,337,259",547,0.687185929648241,13.1231298446655
1,1,0,1,796,"343,177,276",495,0.621859296482412,"200,337,259",547,0.687185929648241,2.8394091129303
1,1,1,0,796,"374,225,197",512,0.64321608040201,"200,337,259",547,0.687185929648241,5.46849966049194
1,1,1,1,796,"341,238,217",519,0.652010050251256,"200,337,259",547,0.687185929648241,1.25449275970459
2,1,0,0,776,"367,235,174",516,0.664948453608247,"176,338,262",530,0.68298969072165,4.14957523345947
2,1,0,1,776,"281,193,302",504,0.649484536082474,"176,338,262",530,0.68298969072165,4.16052722930908
2,1,1,0,776,"373,223,180",511,0.658505154639175,"176,338,262",530,0.68298969072165,5.29422569274902
2,1,1,1,776,"369,180,227",494,0.63659793814433,"176,338,262",530,0.68298969072165,4.56393337249756
3,1,0,0,847,"381,258,208",527,0.622195985832349,"194,380,273",562,0.663518299881936,1.25740766525269
3,1,0,1,847,"304,233,310",522,0.61629279811098,"194,380,273",562,0.663518299881936,8.12472248077393
3,1,1,0,847,"408,209,230",507,0.598583234946871,"194,380,273",562,0.663518299881936,5.12235164642334
3,1,1,1,847,"366,190,291",502,0.592680047225502,"194,380,273",562,0.663518299881936,1.88565182685852
4,1,0,0,677,"274,192,211",499,0.737075332348597,"176,255,246",494,0.729689807976366,1.63694977760315
4,1,0,1,677,"215,215,247",502,0.741506646971935,"176,255,246",494,0.729689807976366,2.25932359695435
4,1,1,0,677,"256,190,231",499,0.737075332348597,"176,255,246",494,0.729689807976366,1.17381954193115
4,1,1,1,677,"202,242,233",505,0.745937961595273,"176,255,246",494,0.729689807976366,2.11311459541321
5,1,0,0,897,"401,283,213",539,0.600891861761427,"187,402,308",569,0.634336677814939,2.94278264045715
5,1,0,1,897,"345,237,315",524,0.584169453734671,"187,402,308",569,0.634336677814939,9.48785400390625
5,1,1,0,897,"447,232,218",516,0.575250836120401,"187,402,308",569,0.634336677814939,8.55126285552979
5,1,1,1,897,"360,228,309",520,0.579710144927536,"187,402,308",569,0.634336677814939,8.0134973526001
6,1,0,0,851,"384,215,252",511,0.600470035252644,"183,365,303",550,0.646298472385429,4.42534732818604
6,1,0,1,851,"330,197,324",507,0.595769682726204,"183,365,303",550,0.646298472385429,3.43628907203674
6,1,1,0,851,"356,247,248",525,0.616921269095182,"183,365,303",550,0.646298472385429,5.4576587677002
6,1,1,1,851,"350,190,311",503,0.591069330199765,"183,365,303",550,0.646298472385429,1.89375817775726
7,1,0,0,753,"322,202,229",504,0.669322709163347,"161,346,246",524,0.695883134130146,6.12946224212646
7,1,0,1,753,"274,162,317",491,0.652058432934927,"161,346,246",524,0.695883134130146,2.93660235404968
7,1,1,0,753,"273,246,234",524,0.695883134130146,"161,346,246",524,0.695883134130146,10.8592491149902
7,1,1,1,753,"280,198,275",505,0.670650730411687,"161,346,246",524,0.695883134130146,8.58401775360107
8,1,0,0,680,"225,195,260",500,0.735294117647059,"175,265,240",497,0.730882352941176,1.62239646911621
8,1,0,1,680,"232,158,290",488,0.717647058823529,"175,265,240",497,0.730882352941176,3.2671685218811
8,1,1,0,680,"198,215,267",492,0.723529411764706,"175,265,240",497,0.730882352941176,1.4421489238739
8,1,1,1,680,"225,188,267",498,0.732352941176471,"175,265,240",497,0.730882352941176,1.04749131202698
9,1,0,0,733,"243,222,268",515,0.702592087312415,"189,260,284",507,0.691678035470669,2.60753011703491
9,1,0,1,733,"226,183,324",500,0.682128240109141,"189,260,284",507,0.691678035470669,3.79996562004089
9,1,1,0,733,"215,268,250",525,0.716234652114598,"189,260,284",507,0.691678035470669,2.33983898162842
9,1,1,1,733,"212,218,303",504,0.687585266030014,"189,260,284",507,0.691678035470669,2.02539896965027
10,1,0,0,849,"351,242,256",523,0.616018845700825,"191,372,286",557,0.656065959952886,5.51706600189209
10,1,0,1,849,"342,153,354",486,0.57243816254417,"191,372,286",557,0.656065959952886,6.6016845703125
10,1,1,0,849,"371,228,250",517,0.608951707891637,"191,372,286",557,0.656065959952886,2.72188472747803
10,1,1,1,849,"325,203,321",510,0.600706713780919,"191,372,286",557,0.656065959952886,4.00277853012085
11,1,0,0,598,"255,152,191",476,0.795986622073579,"129,253,216",460,0.769230769230769,2.55059766769409
11,1,0,1,598,"242,103,253",431,0.720735785953177,"129,253,216",460,0.769230769230769,4.94195652008057
11,1,1,0,598,"216,181,201",485,0.811036789297659,"129,253,216",460,0.769230769230769,6.26319313049316
11,1,1,1,598,"221,146,231",468,0.782608695652174,"129,253,216",460,0.769230769230769,3.17231035232544
12,1,0,0,820,"354,221,245",513,0.625609756097561,"147,350,323",521,0.635365853658537,9.01811218261719
12,1,0,1,820,"321,146,353",479,0.584146341463415,"147,350,323",521,0.635365853658537,0.415782302618027
12,1,1,0,820,"370,248,202",523,0.63780487804878,"147,350,323",521,0.635365853658537,7.94561910629272
12,1,1,1,820,"318,194,308",505,0.615853658536585,"147,350,323",521,0.635365853658537,9.03585910797119
13,1,0,0,635,"215,195,225",491,0.773228346456693,"153,249,233",476,0.749606299212598,3.80002522468567
13,1,0,1,635,"230,144,261",472,0.743307086614173,"153,249,233",476,0.749606299212598,1.6290225982666
13,1,1,0,635,"195,210,230",486,0.765354330708661,"153,249,233",476,0.749606299212598,3.68100619316101
13,1,1,1,635,"192,197,246",478,0.752755905511811,"153,249,233",476,0.749606299212598,2.76779961585999
14,1,0,0,774,"329,188,257",499,0.644702842377261,"162,356,256",530,0.684754521963824,5.74183225631714
14,1,0,1,774,"291,150,333",482,0.622739018087855,"162,356,256",530,0.684754521963824,3.59194016456604
14,1,1,0,774,"294,249,231",525,0.678294573643411,"162,356,256",530,0.684754521963824,10.8017930984497
14,1,1,1,774,"302,208,264",508,0.656330749354005,"162,356,256",530,0.684754521963824,9.27330017089844
15,1,0,0,643,"252,184,207",494,0.768273716951788,"117,298,228",473,0.735614307931571,11.0975208282471
15,1,0,1,643,"256,135,252",463,0.720062208398134,"117,298,228",473,0.735614307931571,5.61427021026611
15,1,1,0,643,"239,194,210",500,0.777604976671851,"117,298,228",473,0.735614307931571,12.1481618881226
15,1,1,1,643,"240,160,243",486,0.755832037325039,"117,298,228",473,0.735614307931571,9.510986328125
0,2,0,0,863,"414,203,246",505,0.585168018539977,"198,375,290",563,0.652375434530707,5.90480470657349
0,2,0,1,863,"413,274,176",533,0.617612977983778,"198,375,290",563,0.652375434530707,7.3661527633667
0,2,1,0,863,"437,281,145",529,0.61297798377752,"198,375,290",563,0.652375434530707,15.6651420593262
0,2,1,1,863,"399,245,219",522,0.60486674391657,"198,375,290",563,0.652375434530707,4.19900226593018
1,2,0,0,796,"389,195,212",500,0.628140703517588,"200,337,259",547,0.687185929648241,8.5767650604248
1,2,0,1,796,"385,184,227",495,0.621859296482412,"200,337,259",547,0.687185929648241,8.14617156982422
1,2,1,0,796,"375,243,178",519,0.652010050251256,"200,337,259",547,0.687185929648241,6.73606014251709
1,2,1,1,796,"362,223,211",513,0.644472361809045,"200,337,259",547,0.687185929648241,3.57664513587952
2,2,0,0,776,"358,238,180",517,0.666237113402062,"176,338,262",530,0.68298969072165,2.84806060791016
2,2,0,1,776,"312,194,270",503,0.64819587628866,"176,338,262",530,0.68298969072165,3.86026048660278
2,2,1,0,776,"383,210,183",505,0.650773195876289,"176,338,262",530,0.68298969072165,7.35433435440063
2,2,1,1,776,"321,234,221",517,0.666237113402062,"176,338,262",530,0.68298969072165,4.66220378875732
3,2,0,0,847,"357,255,235",528,0.623376623376623,"194,380,273",562,0.663518299881936,5.23916006088257
3,2,0,1,847,"315,228,304",520,0.613931523022432,"194,380,273",562,0.663518299881936,7.64096117019653
3,2,1,0,847,"412,185,250",498,0.587957497048406,"194,380,273",562,0.663518299881936,5.85573291778564
3,2,1,1,847,"352,239,256",522,0.61629279811098,"194,380,273",562,0.663518299881936,5.90916776657104
4,2,0,0,677,"267,196,214",501,0.740029542097489,"176,255,246",494,0.729689807976366,1.51806306838989
4,2,0,1,677,"230,217,230",511,0.75480059084195,"176,255,246",494,0.729689807976366,2.68146538734436
4,2,1,0,677,"272,201,204",502,0.741506646971935,"176,255,246",494,0.729689807976366,1.71113955974579
4,2,1,1,677,"198,246,233",504,0.744460856720827,"176,255,246",494,0.729689807976366,1.85307967662811
5,2,0,0,897,"414,253,230",527,0.587513935340022,"187,402,308",569,0.634336677814939,4.60593891143799
5,2,0,1,897,"343,226,328",520,0.579710144927536,"187,402,308",569,0.634336677814939,8.43488502502441
5,2,1,0,897,"411,272,214",534,0.595317725752508,"187,402,308",569,0.634336677814939,3.6193311214447
5,2,1,1,897,"361,253,283",529,0.58974358974359,"187,402,308",569,0.634336677814939,9.48867034912109
6,2,0,0,851,"384,227,240",515,0.605170387779083,"183,365,303",550,0.646298472385429,4.77814865112305
6,2,0,1,851,"337,188,326",503,0.591069330199765,"183,365,303",550,0.646298472385429,1.97508788108826
6,2,1,0,851,"318,274,259",537,0.631022326674501,"183,365,303",550,0.646298472385429,8.95784473419189
6,2,1,1,851,"347,226,278",517,0.607520564042303,"183,365,303",550,0.646298472385429,5.73568439483643
7,2,0,0,753,"295,225,233",514,0.682602921646746,"161,346,246",524,0.695883134130146,9.44030284881592
7,2,0,1,753,"275,171,307",495,0.657370517928287,"161,346,246",524,0.695883134130146,4.68128824234009
7,2,1,0,753,"271,251,231",526,0.698539176626826,"161,346,246",524,0.695883134130146,10.857985496521
7,2,1,1,753,"254,213,286",512,0.679946879150066,"161,346,246",524,0.695883134130146,9.61119270324707
8,2,0,0,680,"225,193,262",499,0.733823529411765,"175,265,240",497,0.730882352941176,1.4278792142868
8,2,0,1,680,"235,165,280",490,0.720588235294118,"175,265,240",497,0.730882352941176,1.77106523513794
8,2,1,0,680,"211,218,251",501,0.736764705882353,"175,265,240",497,0.730882352941176,2.50413370132446
8,2,1,1,680,"220,189,271",496,0.729411764705882,"175,265,240",497,0.730882352941176,1.2061333656311
