"trial","sim","display","feedback","totalFlow","simFlow","simPickup","simProb","predFlow","predPickup","predProb","ds"
0,1,0,0,863,"403,264,196",530,0.614136732329085,"198,375,290",563,0.652375434530707,3.8922438621521
0,1,0,1,863,"366,335,162",559,0.64774044032445,"198,375,290",563,0.652375434530707,5.76746368408203
0,1,1,0,863,"398,256,209",526,0.609501738122827,"198,375,290",563,0.652375434530707,3.64709424972534
0,1,1,1,863,"386,238,239",520,0.602549246813441,"198,375,290",563,0.652375434530707,3.1472601890564
1,1,0,0,753,"359,206,188",503,0.667994687915007,"161,346,246",524,0.695883134130146,3.59222912788391
1,1,0,1,753,"334,190,229",499,0.662682602921647,"161,346,246",524,0.695883134130146,4.03000736236572
1,1,1,0,753,"384,226,143",503,0.667994687915007,"161,346,246",524,0.695883134130146,8.53372001647949
1,1,1,1,753,"361,233,159",514,0.682602921646746,"161,346,246",524,0.695883134130146,2.57309651374817
2,1,0,0,774,"411,188,175",495,0.63953488372093,"162,356,256",530,0.684754521963824,11.4768676757812
2,1,0,1,774,"354,195,225",500,0.645994832041344,"162,356,256",530,0.684754521963824,2.97750759124756
2,1,1,0,774,"376,212,186",506,0.65374677002584,"162,356,256",530,0.684754521963824,4.67837619781494
2,1,1,1,774,"358,220,196",510,0.65891472868217,"162,356,256",530,0.684754521963824,2.85993218421936
3,1,0,0,849,"398,263,188",528,0.621908127208481,"191,372,286",557,0.656065959952886,3.74473571777344
3,1,0,1,849,"364,242,243",522,0.614840989399293,"191,372,286",557,0.656065959952886,3.86945676803589
3,1,1,0,849,"382,213,254",510,0.600706713780919,"191,372,286",557,0.656065959952886,2.78675174713135
3,1,1,1,849,"388,243,218",521,0.613663133097762,"191,372,286",557,0.656065959952886,3.60038304328918
4,1,0,0,733,"326,223,184",511,0.697135061391542,"189,260,284",507,0.691678035470669,4.04150772094727
4,1,0,1,733,"284,243,206",520,0.709413369713506,"189,260,284",507,0.691678035470669,1.33436179161072
4,1,1,0,733,"322,233,178",515,0.702592087312415,"189,260,284",507,0.691678035470669,3.89312791824341
4,1,1,1,733,"234,273,226",535,0.72987721691678,"189,260,284",507,0.691678035470669,2.47069644927979
5,1,0,0,820,"415,263,142",518,0.631707317073171,"147,350,323",521,0.635365853658537,8.06323051452637
5,1,0,1,820,"383,224,213",513,0.625609756097561,"147,350,323",521,0.635365853658537,8.63679218292236
5,1,1,0,820,"418,221,181",510,0.621951219512195,"147,350,323",521,0.635365853658537,10.9733076095581
5,1,1,1,820,"375,266,179",529,0.645121951219512,"147,350,323",521,0.635365853658537,6.25779867172241
6,1,0,0,796,"410,198,188",500,0.628140703517588,"200,337,259",547,0.687185929648241,13.8249883651733
6,1,0,1,796,"344,206,246",506,0.635678391959799,"200,337,259",547,0.687185929648241,1.11970388889313
6,1,1,0,796,"328,269,199",532,0.668341708542714,"200,337,259",547,0.687185929648241,0.942123472690582
6,1,1,1,796,"343,226,227",514,0.64572864321608,"200,337,259",547,0.687185929648241,1.54097843170166
7,1,0,0,677,"232,276,169",533,0.787296898079764,"176,255,246",494,0.729689807976366,1.53328812122345
7,1,0,1,677,"246,230,201",515,0.760709010339734,"176,255,246",494,0.729689807976366,2.00142908096313
7,1,1,0,677,"318,206,153",501,0.740029542097489,"176,255,246",494,0.729689807976366,7.72914886474609
