"collection","type","response","level","condition","effect",".lower",".epred",".upper"
"Main Experiment","condition","br","Level-1","display","NetHOPs",0.659376802811905,0.801307203231903,0.907295077943818
"Main Experiment","condition","br","Level-1","display","Static",0.714243037408487,0.83736015349728,0.928551020870338
"Main Experiment","condition","br","Level-1","feedback","Bandit",0.696678040129145,0.831470531007951,0.928551020870338
"Main Experiment","condition","br","Level-1","feedback","Full",0.667886224041716,0.808675133204774,0.91537188914362
"Main Experiment","condition","br","Level-2","display","NetHOPs",0.183612673082981,0.39811468486472,0.795786822606488
"Main Experiment","condition","br","Level-2","display","Static",0.251726994626616,0.614653740937899,0.910566697503305
"Main Experiment","condition","br","Level-2","feedback","Bandit",0.186007202244133,0.400653144819513,0.85243427741714
"Main Experiment","condition","br","Level-2","feedback","Full",0.25991113207885,0.586325349622616,0.898905193136304
"Main Experiment","condition","ae","Level-1","display","NetHOPs",3.45477848876067,3.82383758441066,4.1858124028519
"Main Experiment","condition","ae","Level-1","display","Static",3.07607284382859,3.50254797266541,3.96625566836939
"Main Experiment","condition","ae","Level-1","feedback","Bandit",3.12638376861408,3.70743082495974,4.20392140667461
"Main Experiment","condition","ae","Level-1","feedback","Full",3.19088895429364,3.66126974932971,4.09541113679168
"Main Experiment","condition","ae","Level-2","display","NetHOPs",16.9749027800537,21.9517090539619,28.8780419222146
"Main Experiment","condition","ae","Level-2","display","Static",17.8082701381235,23.2607021347842,32.1534015926458
"Main Experiment","condition","ae","Level-2","feedback","Bandit",23.7963207130411,27.346187622828,32.1653760338193
"Main Experiment","condition","ae","Level-2","feedback","Full",16.8677763833688,19.006099594915,21.061343440931
"Main Experiment","condition","ds","NA","display","NetHOPs",2.48205853759206,4.74067011804667,14.089662668825
"Main Experiment","condition","ds","NA","display","Static",2.46284780265196,4.35152883275024,8.10665372804334
"Main Experiment","condition","ds","NA","feedback","Bandit",2.60326697805472,5.67519120784181,14.0840596643535
"Main Experiment","condition","ds","NA","feedback","Full",2.41148613073126,3.94531319406349,6.26111540369023
"Main Experiment","condition","ratio","NA","display","NetHOPs",0.838898545075826,0.858513808797624,0.886907963841821
"Main Experiment","condition","ratio","NA","display","Static",0.839167061449714,0.869305775403042,0.890399673163151
"Main Experiment","condition","ratio","NA","feedback","Bandit",0.840069072366882,0.863159389478671,0.880891636701281
"Main Experiment","condition","ratio","NA","feedback","Full",0.83741373021257,0.868237846221417,0.892092324272642
"Robust Trial","condition","br","Level-1","display","NetHOPs",0.591221260592989,0.78827811854629,0.930797844656937
"Robust Trial","condition","br","Level-1","display","Static",0.683977089183213,0.848359582438779,0.968402984329382
"Robust Trial","condition","br","Level-1","feedback","Bandit",0.613953186744418,0.828171281854209,0.970063309769881
"Robust Trial","condition","br","Level-1","feedback","Full",0.633453221531844,0.813291937228121,0.939881764208861
"Robust Trial","condition","br","Level-2","display","NetHOPs",0.107382721728839,0.317109771370293,0.677872346659779
"Robust Trial","condition","br","Level-2","display","Static",0.216751991475676,0.462969387230864,0.868994272566863
"Robust Trial","condition","br","Level-2","feedback","Bandit",0.0951696622774991,0.300454954235561,0.58942406592766
"Robust Trial","condition","br","Level-2","feedback","Full",0.245272931007072,0.50497473964656,0.861964327514388
"Robust Trial","condition","ae","Level-1","display","NetHOPs",2.70091091847493,3.44477737659502,4.36316675024778
"Robust Trial","condition","ae","Level-1","display","Static",2.97396273307894,3.68283452665343,4.48929974411142
"Robust Trial","condition","ae","Level-1","feedback","Bandit",2.85727175734943,3.65845323262202,4.51820038626725
"Robust Trial","condition","ae","Level-1","feedback","Full",2.74613691667993,3.49016892606624,4.36658751088056
"Robust Trial","condition","ae","Level-2","display","NetHOPs",17.2185113933563,20.7048660433353,24.9707735263088
"Robust Trial","condition","ae","Level-2","display","Static",16.0189257506043,21.513376633684,32.965954819134
"Robust Trial","condition","ae","Level-2","feedback","Bandit",17.5217782332455,23.7987454786385,32.965954819134
"Robust Trial","condition","ae","Level-2","feedback","Full",16.1135382568904,19.1793046623852,23.9959055502105
"Robust Trial","condition","ds","NA","display","NetHOPs",2.76581386212355,4.4598931088458,7.30540440953677
"Robust Trial","condition","ds","NA","display","Static",2.38128606718238,5.21972444705508,10.5020038559015
"Robust Trial","condition","ds","NA","feedback","Bandit",3.40309971372984,6.21201221107609,10.4936847895225
"Robust Trial","condition","ds","NA","feedback","Full",2.2739780294807,3.69857876548516,5.93573338593006
"Robust Trial","condition","ratio","NA","display","NetHOPs",0.856800566804168,0.873419108123041,0.887936036618636
"Robust Trial","condition","ratio","NA","display","Static",0.859989818770228,0.87464395100183,0.891624417179185
"Robust Trial","condition","ratio","NA","feedback","Bandit",0.855364134461234,0.8712612460167,0.885341176405594
"Robust Trial","condition","ratio","NA","feedback","Full",0.861916119723624,0.876891417307339,0.89227330973834
"Robust Comp.","condition","br","Level-2","display","NetHOPs",0.305008551360198,0.706672010273014,0.99281877379812
"Robust Comp.","condition","br","Level-2","display","Static",0.612041186450109,0.859634815425465,0.993004651639651
"Robust Comp.","condition","br","Level-2","feedback","Bandit",0.299530828333951,0.77192253054112,0.956493337220406
"Robust Comp.","condition","br","Level-2","feedback","Full",0.466278034297314,0.867851014561198,0.994255301592805
"Robust Comp.","condition","ae","Level-2","display","NetHOPs",29.9619508158009,40.2716621662028,51.4936401275298
"Robust Comp.","condition","ae","Level-2","display","Static",28.3295423468398,39.2838521011492,59.3044363745066
"Robust Comp.","condition","ae","Level-2","feedback","Bandit",39.884891728215,48.0180683855513,59.0702833879413
"Robust Comp.","condition","ae","Level-2","feedback","Full",27.9894134881385,32.7336943366516,40.4700988931256
"Robust Comp.","condition","ds","NA","display","NetHOPs",2.63551887268387,4.9546041256906,9.10145097434774
"Robust Comp.","condition","ds","NA","display","Static",2.41683838775777,4.30452797429409,7.7347388391538
"Robust Comp.","condition","ds","NA","feedback","Bandit",2.81928834123297,5.11850992549491,9.06581541295764
"Robust Comp.","condition","ds","NA","feedback","Full",2.33732642606513,4.1465876873004,7.71101072910378
"Robust Comp.","condition","ratio","NA","display","NetHOPs",0.850527502188843,0.887424072239807,0.941452118439425
"Robust Comp.","condition","ratio","NA","display","Static",0.817283814169141,0.875997518089362,0.930663766177561
"Robust Comp.","condition","ratio","NA","feedback","Bandit",0.855154710031107,0.897105072384687,0.944531475407846
"Robust Comp.","condition","ratio","NA","feedback","Full",0.818829997994264,0.869981609062192,0.912294990106605
