"collection","response","level","interface",".lower",".epred",".upper"
"Main Experiment","br","Level-1","NetHOPs+Bandit",0.68169216259797,0.811956564733647,0.910710620641298
"Main Experiment","br","Level-1","NetHOPs+Full",0.648650523075873,0.792288263387332,0.905421520857835
"Main Experiment","br","Level-1","Static+Bandit",0.740703051816179,0.851211496563709,0.931542318479019
"Main Experiment","br","Level-1","Static+Full",0.70201522867046,0.820530062065627,0.914361036042684
"Main Experiment","br","Level-2","NetHOPs+Bandit",0.179175637390318,0.344891513310438,0.581686946342229
"Main Experiment","br","Level-2","NetHOPs+Full",0.229653454023399,0.52758906734793,0.842046935140332
"Main Experiment","br","Level-2","Static+Bandit",0.208919576520436,0.566532622988501,0.885089912938504
"Main Experiment","br","Level-2","Static+Full",0.356381571624568,0.661129714992823,0.923525905071418
"Main Experiment","ae","Level-1","NetHOPs+Bandit",3.54192294866104,3.88277570134714,4.24623351046463
"Main Experiment","ae","Level-1","NetHOPs+Full",3.41451200364808,3.7636796656922,4.09717620812751
"Main Experiment","ae","Level-1","Static+Bandit",3.02458525196211,3.4838968296126,3.94496915540841
"Main Experiment","ae","Level-1","Static+Full",3.13642364279056,3.54422438688908,3.97890272502188
"Main Experiment","ae","Level-2","NetHOPs+Bandit",23.4120333763723,26.2209465670064,29.3130048304867
"Main Experiment","ae","Level-2","NetHOPs+Full",16.5442183488137,18.5767263133386,20.656274942573
"Main Experiment","ae","Level-2","Static+Bandit",25.2569698349427,28.8934918016478,32.7850724996582
"Main Experiment","ae","Level-2","Static+Full",17.7043807522134,19.3198580050805,21.0795875190183
"Main Experiment","ds","NA","NetHOPs+Bandit",3.17591260534402,7.16825841411686,16.4032043732603
"Main Experiment","ds","NA","NetHOPs+Full",2.41331755678979,3.76549630246202,5.89643427893812
"Main Experiment","ds","NA","Static+Bandit",2.59122206023096,4.72559390369624,8.88404632936773
"Main Experiment","ds","NA","Static+Full",2.49181745936832,4.08602697713343,6.30522870652488
"Main Experiment","ratio","NA","NetHOPs+Bandit",0.836820321095935,0.852351377722697,0.872184898438662
"Main Experiment","ratio","NA","NetHOPs+Full",0.84410578323883,0.869957887530083,0.891229528180139
"Main Experiment","ratio","NA","Static+Bandit",0.858592151480948,0.870336692122242,0.884057062485601
"Main Experiment","ratio","NA","Static+Full",0.834255792551734,0.866660415329702,0.891889144831448
"Robust Trial","br","Level-1","NetHOPs+Bandit",0.571657145877562,0.781988235334123,0.927100231237934
"Robust Trial","br","Level-1","NetHOPs+Full",0.605839008203079,0.792737474937524,0.928247349611457
"Robust Trial","br","Level-1","Static+Bandit",0.701362051214438,0.877134189898511,0.977408519728282
"Robust Trial","br","Level-1","Static+Full",0.664202437797146,0.826963984217632,0.942372795415778
"Robust Trial","br","Level-2","NetHOPs+Bandit",0.069311780330095,0.237958871278462,0.397127869231619
"Robust Trial","br","Level-2","NetHOPs+Full",0.223967423379989,0.409961701806899,0.730727451614745
"Robust Trial","br","Level-2","Static+Bandit",0.180640939041821,0.355483608346686,0.626016551466079
"Robust Trial","br","Level-2","Static+Full",0.327832069995955,0.603395365954566,0.903507830816665
"Robust Trial","ae","Level-1","NetHOPs+Bandit",2.73644486304499,3.44787626320786,4.37050979687057
"Robust Trial","ae","Level-1","NetHOPs+Full",2.66435678970234,3.41876985245912,4.40296609821129
"Robust Trial","ae","Level-1","Static+Bandit",3.181346563883,3.79573450652813,4.57048750612265
